trial,seed,window_size,learning_rate,batch_size,hidden_size,num_layers,kernel_size,dropout,rmse_mean,rmse_std
15,2024,16,0.0015572269867545159,32,64,2,3,0.30000000000000004,0.6207332006517151,0.20274386898483887
16,2024,4,0.009684836317395489,32,64,2,3,0.30000000000000004,0.7889325722909512,0.23258856175607426
17,2024,8,0.0014394409455671837,32,64,3,3,0.30000000000000004,0.6713115390525471,0.18032683977147992
18,2024,12,0.002827995949448654,16,64,2,3,0.4,0.6537443642640731,0.19060189183469523
19,2024,16,0.00038323623189756996,32,64,2,3,0.30000000000000004,0.6427377808046112,0.2013430702561253
20,2024,16,0.00010453871343665781,32,64,3,3,0.2,0.6829308425784723,0.18947321455644375
21,2024,16,0.0014211930167204114,32,64,2,5,0.1,0.6312631052740306,0.18461116782264128
22,2024,16,0.0019322483427715229,32,64,2,5,0.2,0.620969226477374,0.19248465784179633
23,2024,16,0.0011094561914703036,32,64,2,3,0.2,0.6430004213369885,0.21507050976922093
24,2024,16,0.0020852938479043914,32,64,2,5,0.30000000000000004,0.6320473416981097,0.18135397523075644
25,2024,16,0.0045428219982132255,32,64,2,3,0.2,0.6382014208833612,0.18605106792565454
26,2024,8,0.0009918641391376904,16,64,3,5,0.2,0.6427804378825783,0.1715788472794212
27,2024,4,0.002410999087790217,32,64,2,3,0.30000000000000004,0.6642648748161607,0.14288334656189638
28,2024,12,0.004686024382848891,32,64,2,3,0.2,0.6324181225797378,0.18654673190940324
29,2024,8,0.004055993716838021,32,64,1,5,0.30000000000000004,0.6514460376819015,0.1693359931019744
