trial,seed,window_size,learning_rate,batch_size,hidden_size,num_layers,kernel_size,dropout,rmse_mean,rmse_std
16,123,16,0.00010311261995883501,32,64,1,3,0.2,0.4433380148383268,0.1457675966008984
17,123,16,0.00029138602204559135,32,32,3,3,0.30000000000000004,0.4697425176900931,0.1661483792398832
18,123,8,0.0005606998755149234,16,64,1,5,0.4,0.5041165506561098,0.1189041335204374
19,123,12,0.00017661036196123475,32,128,2,7,0.30000000000000004,0.4936299426111845,0.16077342309283077
20,123,16,0.0003483813336898494,32,32,2,3,0.4,0.4443113382020103,0.15590006296836403
21,123,4,0.0009444984061461951,32,32,1,3,0.30000000000000004,0.4269882130823272,0.10194969557117685
22,123,4,0.0007878839034549162,32,32,1,3,0.30000000000000004,0.4387782882329387,0.10225159549381423
23,123,4,0.0007256899973130755,32,32,1,3,0.2,0.41753900969888696,0.10243199128278295
24,123,16,0.0004199338374868215,32,32,1,3,0.2,0.41081631410375624,0.12752550106802352
25,123,4,0.00037895267809669175,32,32,1,3,0.2,0.4303376365597436,0.11524788730690037
26,123,12,0.00017539403583293462,16,32,1,3,0.1,0.42831295695138927,0.12935920550575977
27,123,8,0.00025585875484199623,32,32,1,3,0.2,0.4281387239062275,0.11635923426589889
28,123,16,0.00039562100846310047,32,32,1,5,0.2,0.440957210804124,0.12097844966755687
29,123,4,0.0023720918400686004,32,32,1,7,0.1,0.4778013516532469,0.13554432860122262
0,2024,8,0.00025706201341357387,32,32,1,7,0.30000000000000004,0.48872899138479986,0.15764284963217967
1,2024,16,0.0029616462592929973,16,32,3,3,0.1,0.5025556749832205,0.12269335033493002
2,2024,8,0.005848943222502433,32,32,2,7,0.4,0.5238606535216942,0.11824357726282213
3,2024,12,0.005425811302856902,32,64,1,3,0.4,0.43577401722992676,0.11183258994727427
4,2024,16,0.002254848165197095,32,64,2,3,0.2,0.4879787526950703,0.16271729929901133
5,2024,16,0.0029725817190668037,16,32,2,7,0.1,0.5528993319257033,0.10137508085070245
6,2024,12,0.00020818506731693845,32,64,2,7,0.30000000000000004,0.46613679867602115,0.1162305844403582
7,2024,16,0.000190487501982491,32,32,3,3,0.0,0.45354318322670695,0.1413299381472079
8,2024,4,0.0016528416477972748,16,32,2,3,0.2,0.4544618005407259,0.09757142491382624
9,2024,4,0.0002237683439575512,16,32,3,7,0.2,0.5011227172289152,0.123541436430355
10,2024,12,0.0006154709415468628,32,128,1,5,0.4,0.4773312625866242,0.14528028238964588
11,2024,12,0.009169293591264557,32,64,1,3,0.0,0.47462754221460596,0.06919276987679424
12,2024,12,0.0006092410963879744,32,128,3,3,0.0,0.5082253491939822,0.13331327186527872
13,2024,16,0.00012464592080813013,32,64,3,5,0.1,0.46348497704216296,0.12703600288561515
14,2024,16,0.0009516400027959786,32,64,1,3,0.30000000000000004,0.43987373042358313,0.13362884082041407
15,2024,12,0.0010900954737025196,32,64,1,3,0.30000000000000004,0.43640702991930796,0.12809441805039767
16,2024,12,0.004472624616062525,32,64,1,3,0.4,0.41956477284287264,0.11513871328168199
17,2024,12,0.007035815912513442,32,64,1,5,0.4,0.44276824235254914,0.07640102144086627
