trial,seed,window_size,learning_rate,batch_size,hidden_size,num_layers,kernel_size,dropout,rmse_mean,rmse_std
15,123,16,0.00026454770509855155,32,32,2,5,0.2,0.4041791426231304,0.09861949240784296
16,123,16,0.0007740576896567899,32,64,2,3,0.2,0.4011288953100794,0.0764807086483518
17,123,16,0.0035784115806843,32,64,3,3,0.4,0.434501472474949,0.08043756685102843
18,123,8,0.00015858686492246888,16,32,1,5,0.30000000000000004,0.4143822099576493,0.10063541100657832
19,123,12,0.0004973253134082639,32,128,2,7,0.4,0.38972515601528274,0.06594912710137943
20,123,16,0.0009752429212406629,32,32,3,3,0.0,0.40954874775538036,0.11490312221695921
21,123,16,0.0005241281976654931,32,64,2,3,0.4,0.38571796023369836,0.08082835047879733
22,123,16,0.0006859777502655149,32,64,2,3,0.4,0.3895718169727946,0.1074583987144231
23,123,16,0.001354059059080243,32,64,2,3,0.30000000000000004,0.39509882824201864,0.07509545575894441
24,123,16,0.000301634942270317,32,64,2,3,0.4,0.38633805907582125,0.10721597422483099
25,123,16,0.0021863980908110162,32,64,1,3,0.30000000000000004,0.40368554632401854,0.0672303405240756
26,123,16,0.0005518730258043797,16,64,3,3,0.4,0.41985685675650736,0.08697009679233417
27,123,12,0.0009527468590345073,32,64,2,3,0.30000000000000004,0.39935246701798355,0.11322839864954003
28,123,8,0.00025312306791278494,32,128,2,5,0.4,0.3771920527450037,0.07224427071197706
29,123,8,0.00012070416437153682,32,128,2,5,0.1,0.39500886611156805,0.07340943057045306
0,2024,8,0.00025706201341357387,32,32,1,7,0.30000000000000004,0.41519827047611363,0.10724015487181064
1,2024,16,0.0029616462592929973,16,32,3,3,0.1,0.4848709016117665,0.12881702170500617
2,2024,8,0.005848943222502433,32,32,2,7,0.4,0.4047139446079462,0.11176916786413062
3,2024,12,0.005425811302856902,32,64,1,3,0.4,0.3813234880723723,0.08543067154128856
4,2024,16,0.002254848165197095,32,64,2,3,0.2,0.4556305481050278,0.10181039228096354
5,2024,16,0.0029725817190668037,16,32,2,7,0.1,0.5116971915409317,0.20944479167115457
6,2024,12,0.00020818506731693845,32,64,2,7,0.30000000000000004,0.42335609767328636,0.14825161483152657
7,2024,16,0.000190487501982491,32,32,3,3,0.0,0.4235437145832451,0.11972103564792501
8,2024,4,0.0016528416477972748,16,32,2,3,0.2,0.46569606209924647,0.09749276267883993
9,2024,4,0.0002237683439575512,16,32,3,7,0.2,0.43079936904397814,0.08880501391750388
10,2024,12,0.0006154709415468628,32,128,1,5,0.4,0.38893908419890016,0.0785326619445715
11,2024,12,0.0008257342457158097,32,128,1,5,0.4,0.3781865651863156,0.07721136104400976
12,2024,12,0.0006468845276709705,32,128,1,5,0.4,0.3781090974867944,0.08773028627646996
13,2024,12,0.0006113158374533438,32,128,1,5,0.30000000000000004,0.38427816415313965,0.08629469068668681
14,2024,12,0.0007877700785906926,32,128,1,5,0.4,0.37758480283255597,0.06873231561668547
15,2024,12,0.00010236235089259731,32,128,1,5,0.30000000000000004,0.38117201981705057,0.09841027445100424
16,2024,12,0.0004240027176018791,32,128,1,5,0.4,0.3752150257193309,0.07740494445783382
17,2024,12,0.0004310360420547543,32,128,1,5,0.30000000000000004,0.36764068315399373,0.0724589495299501
18,2024,4,0.00034029038092919507,16,128,1,5,0.30000000000000004,0.38215998423435166,0.06507088122139057
19,2024,8,0.00038323623189756996,32,128,2,5,0.30000000000000004,0.40825264580383247,0.05376528930105056
20,2024,12,0.00141620838522385,32,128,2,5,0.1,0.43512790358678705,0.08345686656585855
21,2024,12,0.0004216911974720156,32,128,1,5,0.4,0.3948110260411763,0.051011576764464245
22,2024,12,0.0011004324351953504,32,128,1,5,0.4,0.38176551978891843,0.06816196258528286
23,2024,12,0.00013106609807026935,32,128,1,5,0.30000000000000004,0.38090990404517244,0.08676890113452283
24,2024,12,0.0005051703957066582,32,128,1,5,0.4,0.3700911428067796,0.0786334270459845
25,2024,12,0.0004336378267006687,32,128,1,5,0.2,0.3871536861890901,0.08630973836492674
26,2024,12,0.0003263795892618301,16,64,1,5,0.30000000000000004,0.41450410040787244,0.10098632667943291
27,2024,4,0.0005142707234469939,32,128,2,5,0.4,0.41050744288305774,0.08730562030651709
28,2024,8,0.0009518562560698264,32,128,1,5,0.30000000000000004,0.3756170818567275,0.06721435337163206
29,2024,8,0.0001542553624314276,32,128,1,5,0.30000000000000004,0.38354448971696503,0.07947531232931868
