trial,seed,window_size,learning_rate,batch_size,dropout,d_model,n_heads,n_layers,dim_ff,max_lag,rmse_mean,rmse_std
29,123,8,0.0028998254575276967,32,0.30000000000000004,128,2,2,256,2,0.4724168082090973,0.1194175085890296
0,2024,8,0.00025706201341357387,32,0.30000000000000004,32,8,3,64,6,0.46389180508658656,0.12280942549530471
1,2024,16,0.00031881193670220257,32,0.30000000000000004,32,4,2,64,7,0.4498215610473945,0.1401483221313217
2,2024,12,0.001559069134900931,32,0.1,64,2,3,64,8,0.4313387598692799,0.11633432625557746
3,2024,12,0.00042243152271475334,32,0.30000000000000004,128,2,4,128,6,0.419407412492295,0.11457404945091766
4,2024,12,0.0009982634551351653,32,0.0,32,4,2,128,3,0.42446190421823643,0.12103979011666771
5,2024,8,0.0002220581107651727,32,0.4,32,8,1,256,2,0.47114810438840915,0.1186488721189862
6,2024,4,0.00038045880544699596,32,0.4,64,8,2,256,3,0.4284755105931031,0.08839605072801276
7,2024,12,0.0002453709732681226,16,0.4,64,4,2,64,8,0.42754165932611016,0.11799465836236081
8,2024,8,0.0006570182478040018,32,0.2,64,8,3,64,4,0.4305681230666773,0.11133751270196032
9,2024,12,0.007659026455399053,32,0.30000000000000004,128,8,1,256,7,0.5262814950807513,0.22414630719109377
10,2024,16,0.0028401512917545467,16,0.2,128,2,4,128,5,0.4700263634364174,0.14454318308519784
11,2024,12,0.0010156639427543529,16,0.0,128,4,4,128,4,0.45662246582688626,0.07520198052143735
12,2024,12,0.00010464397128667545,32,0.0,128,2,4,128,2,0.43647539019623127,0.13781430475001274
13,2024,4,0.003240920950308501,32,0.1,32,2,2,128,5,0.431218673076309,0.10314729576146756
14,2024,12,0.0007545038615591888,16,0.1,128,4,3,128,4,0.4514717983490293,0.09731908646821465
15,2024,12,0.0020998222049571167,32,0.2,32,2,1,128,6,0.41779574717940343,0.10763761033518177
16,2024,12,0.0020296981295133535,32,0.2,32,2,1,128,6,0.4228446807250746,0.11370125439757439
17,2024,16,0.006483259122496101,32,0.30000000000000004,128,2,4,128,6,0.5111743227402196,0.1942533121419941
18,2024,4,0.00408142010732495,16,0.30000000000000004,32,2,1,128,7,0.5391103772230291,0.197550684575393
19,2024,12,0.0005053090140970422,32,0.2,128,2,3,128,6,0.41321562269441037,0.09785712951358763
20,2024,12,0.00014101173871789517,32,0.1,128,2,3,256,5,0.42253621387013857,0.12546850925039332
21,2024,12,0.0005824574767832482,32,0.2,128,2,4,128,6,0.4186744027047092,0.09359456545849432
22,2024,12,0.0006390311831869977,32,0.2,128,2,3,128,7,0.4214414491824061,0.09516453218055325
23,2024,12,0.0016117246967522298,32,0.2,128,2,4,128,6,0.4421218571793311,0.1362451878345662
24,2024,12,0.0010710974218427934,32,0.2,128,2,3,128,5,0.4285926295801543,0.1040693077087922
25,2024,12,0.00048567636328100564,32,0.1,32,2,2,128,7,0.4379590703055838,0.14129348026801006
26,2024,16,0.001419231301435775,16,0.2,128,2,4,128,5,0.41639366393395644,0.08794593257214432
27,2024,16,0.0046720938837034025,16,0.2,128,2,1,128,5,0.47662835576929935,0.10225633917265733
28,2024,16,0.0019505171661080999,16,0.1,64,2,3,256,5,0.4331897169448034,0.09907866371054944
29,2024,8,0.002627322401913137,16,0.30000000000000004,32,2,3,128,4,0.5111992975688275,0.16739865851039587
