departamento,fecha_inicio,ano,semana,casos,casos_mujeres,casos_hombres,casos_rural,casos_urbano,n_0_4,n_5_13,n_14_26,n_27_59,n_60_mas,poblacion,poblacion_rural,poblacion_urbana,prop_rural,prop_urbana,incidencia,inc_lag_1,inc_lag_2,inc_lag_3,inc_lag_4,inc_lag_8,inc_lag_12,inc_lag_20,humedad_relativa,humedad_lag_1,humedad_lag_2,humedad_lag_3,humedad_lag_4,humedad_lag_8,humedad_lag_12,humedad_lag_20,precipitacion,precip_lag_1,precip_lag_2,precip_lag_3,precip_lag_4,precip_lag_8,precip_lag_12,precip_lag_20,temp_c,temp_lag_1,temp_lag_2,temp_lag_3,temp_lag_4,temp_lag_8,temp_lag_12,temp_lag_20,dpto_ccdgo
Caqueta,2012-11-12,2012,46,6.0,4,2,0,6,2,1,3,0,0,394379.0,140965,253414,0.3574353604020498,0.6425646395979502,1.5213791809401616,2.282068771410242,0.7606895904700808,0.7606895904700808,1.5213791809401616,0.5071263936467205,1.5213791809401616,2.5356319682336026,89.20853359058911,87.57995556789415,85.76510149068902,85.62824648290551,88.52904407283255,88.43766193471579,90.61088412847351,89.32042173219996,46.79983949985933,46.96085369866714,46.05749631843171,51.32712229295509,59.67154365972202,41.42457842063476,63.386231489333554,49.66491024385751,24.593287951676803,24.849572551035568,24.84960409595801,24.310252477984918,24.17384991284033,24.76610347861092,24.05479195865701,22.376666333192667,18
Caqueta,2012-11-19,2012,47,3.0,2,1,0,3,0,0,1,2,0,394379.0,140965,253414,0.3574353604020498,0.6425646395979502,0.7606895904700808,1.5213791809401616,2.282068771410242,0.7606895904700808,0.7606895904700808,0.0,0.5071263936467205,1.014252787293441,82.96474333510734,89.20853359058911,87.57995556789415,85.76510149068902,85.62824648290551,85.36360223040094,84.85211701404864,91.57953939145116,55.7084567819516,46.79983949985933,46.96085369866714,46.05749631843171,51.32712229295509,66.85244672510939,83.08278876735791,90.89188268395286,24.736466235127008,24.593287951676803,24.849572551035568,24.84960409595801,24.310252477984918,23.604523046514828,22.680568020592137,22.88604282742768,18
Caqueta,2012-11-26,2012,48,7.0,3,4,2,5,0,1,4,1,1,394379.0,140965,253414,0.3574353604020498,0.6425646395979502,1.7749423777635218,0.7606895904700808,1.5213791809401616,2.282068771410242,0.7606895904700808,1.014252787293441,1.2678159841168013,2.282068771410242,77.65258264391485,82.96474333510734,89.20853359058911,87.57995556789415,85.76510149068902,88.24883240758479,85.67610146653155,91.42673490506458,24.21389093407086,55.7084567819516,46.79983949985933,46.96085369866714,46.05749631843171,58.773878365586064,52.64078881613303,88.91520430712488,25.22075548581444,24.736466235127008,24.593287951676803,24.849572551035568,24.84960409595801,24.522250198136835,23.87136089529237,22.547355670651797,18
Caqueta,2012-12-03,2012,49,2.0,1,1,0,2,0,1,0,1,0,394379.0,140965,253414,0.3574353604020498,0.6425646395979502,0.5071263936467205,1.7749423777635218,0.7606895904700808,1.5213791809401616,2.282068771410242,1.2678159841168013,0.0,1.5213791809401616,85.53825287198275,77.65258264391485,82.96474333510734,89.20853359058911,87.57995556789415,89.4493014856266,83.14540278866008,88.7899419821811,26.15067001094164,24.21389093407086,55.7084567819516,46.79983949985933,46.96085369866714,59.103100985953326,39.74154189295108,83.97949694859106,25.64311790664474,25.22075548581444,24.736466235127008,24.593287951676803,24.849572551035568,24.16960880401148,23.87644157382929,21.984023543376946,18
Caqueta,2012-12-10,2012,50,6.0,2,4,0,6,1,1,2,2,0,394379.0,140965,253414,0.3574353604020498,0.6425646395979502,1.5213791809401616,0.5071263936467205,1.7749423777635218,0.7606895904700808,1.5213791809401616,1.5213791809401616,0.5071263936467205,1.5213791809401616,78.2759255674879,85.53825287198275,77.65258264391485,82.96474333510734,89.20853359058911,88.52904407283255,88.43766193471579,88.60905413437573,44.794286298666776,26.15067001094164,24.21389093407086,55.7084567819516,46.79983949985933,59.67154365972202,41.42457842063476,26.265232998430648,24.94474678225268,25.64311790664474,25.22075548581444,24.736466235127008,24.593287951676803,24.17384991284033,24.76610347861092,22.735940286546175,18
Caqueta,2012-12-17,2012,51,3.0,3,0,1,2,0,1,1,1,0,394379.0,140965,253414,0.3574353604020498,0.6425646395979502,0.7606895904700808,1.5213791809401616,0.5071263936467205,1.7749423777635218,0.7606895904700808,0.7606895904700808,0.0,2.282068771410242,91.3305695134902,78.2759255674879,85.53825287198275,77.65258264391485,82.96474333510734,85.62824648290551,85.36360223040094,84.01240877987445,29.854233355494173,44.794286298666776,26.15067001094164,24.21389093407086,55.7084567819516,51.32712229295509,66.85244672510939,58.2029276381679,25.334564751506683,24.94474678225268,25.64311790664474,25.22075548581444,24.736466235127008,24.310252477984918,23.604523046514828,23.169742573562047,18
Caqueta,2012-12-24,2012,52,3.0,2,1,0,3,0,0,0,3,0,394379.0,140965,253414,0.3574353604020498,0.6425646395979502,0.7606895904700808,0.7606895904700808,1.5213791809401616,0.5071263936467205,1.7749423777635218,0.7606895904700808,1.014252787293441,1.014252787293441,88.71270977871313,91.3305695134902,78.2759255674879,85.53825287198275,77.65258264391485,85.76510149068902,88.24883240758479,89.86186637443838,87.46141041294075,29.854233355494173,44.794286298666776,26.15067001094164,24.21389093407086,46.05749631843171,58.773878365586064,2.446560134381724,23.29179516070773,25.334564751506683,24.94474678225268,25.64311790664474,25.22075548581444,24.84960409595801,24.522250198136835,23.37450294135827,18
Caqueta,2013-01-07,2013,1,12.0,5,7,3,9,0,6,4,1,1,395947.0,141488,254459,0.35734075520208514,0.6426592447979149,3.030708655451361,0.7606895904700808,0.7606895904700808,1.5213791809401616,0.5071263936467205,2.282068771410242,1.2678159841168013,0.5071263936467205,79.68675448042774,88.71270977871313,91.3305695134902,78.2759255674879,85.53825287198275,87.57995556789415,89.4493014856266,83.88565051657068,18.774805470618062,11.300946180103228,87.46141041294075,29.854233355494173,44.794286298666776,46.79983949985933,59.67154365972202,63.386231489333554,23.80576774320897,23.784302891803208,23.29179516070773,25.334564751506683,24.94474678225268,24.593287951676803,24.17384991284033,24.05479195865701,18
Caqueta,2013-01-14,2013,2,6.0,2,4,4,2,1,1,2,2,0,395947.0,141488,254459,0.35734075520208514,0.6426592447979149,1.5153543277256805,3.030708655451361,0.7606895904700808,0.7606895904700808,1.5213791809401616,1.5213791809401616,1.5213791809401616,1.5213791809401616,69.76739430728803,79.68675448042774,88.71270977871313,91.3305695134902,78.2759255674879,89.20853359058911,88.52904407283255,90.61088412847351,8.85840994661257,18.774805470618062,11.300946180103228,87.46141041294075,29.854233355494173,55.7084567819516,51.32712229295509,83.08278876735791,25.219972003266605,23.80576774320897,23.784302891803208,23.29179516070773,25.334564751506683,24.736466235127008,24.310252477984918,22.680568020592137,18
Caqueta,2013-01-21,2013,3,6.0,1,5,3,3,0,2,2,2,0,395947.0,141488,254459,0.35734075520208514,0.6426592447979149,1.5153543277256805,1.5153543277256805,3.030708655451361,0.7606895904700808,0.7606895904700808,0.7606895904700808,0.7606895904700808,0.5071263936467205,86.65658655006243,69.76739430728803,79.68675448042774,88.71270977871313,91.3305695134902,82.96474333510734,85.62824648290551,84.85211701404864,15.593329444428074,8.85840994661257,18.774805470618062,11.300946180103228,87.46141041294075,24.21389093407086,46.05749631843171,52.64078881613303,25.49757846501314,25.219972003266605,23.80576774320897,23.784302891803208,23.29179516070773,25.22075548581444,24.84960409595801,23.87136089529237,18
